BMW M2 CS Racing,baseline,hard
Speed (KPH),-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20
0,,,,,,,,,,,,,,,,,
1,1.285556,1.217949,1.075676,0.950660,0.866302,0.831721,0.815785,0.699836,0.629422,0.467974,0.392420,0.396871,0.400488,0.288497,0.228875,0.177369,0.119490
2,2.389012,2.244568,2.085011,1.916949,1.761654,1.636986,1.545800,1.394968,1.288554,1.200819,1.095117,0.946437,0.800810,0.665074,0.502839,0.408303,0.281657
3,3.359800,3.103600,2.884413,2.701001,2.726392,2.499995,2.175996,2.161701,2.068432,2.057136,1.588008,1.089613,0.812287,0.610407,0.441284,0.479210,0.610239
4,4.497788,4.206016,3.945937,3.664192,3.648727,3.433033,3.034788,3.005379,2.781500,2.322068,1.861190,1.522175,1.373843,1.204667,1.134390,1.033622,0.364742
5,5.594120,5.310598,4.986765,4.629702,4.669729,4.232597,3.810928,3.772598,3.430962,2.676615,2.309319,2.134740,2.095141,1.791473,1.434138,0.666705,0.359063
6,6.754596,6.429770,6.033497,5.620412,5.548638,5.058048,4.557869,4.433154,3.959385,3.195961,2.895148,2.832391,2.470253,1.846372,1.305159,0.946198,0.933027
7,7.886888,7.501478,7.045979,6.558413,6.336972,5.766341,5.300361,5.055135,4.360656,3.801216,3.606778,3.325171,2.565375,1.944038,1.611293,1.443946,0.892703
8,9.096319,8.537730,8.089909,7.516882,7.209825,6.574997,6.049439,5.807697,4.955486,4.366766,4.189752,3.585294,2.796409,2.360538,2.060992,1.582040,0.721384
9,10.308187,9.716699,9.120977,8.537224,7.998254,7.424349,6.834092,6.242652,5.608325,5.076697,4.524472,3.891609,3.287592,2.813639,2.205259,1.575302,1.065036
10,11.637618,10.967889,10.236979,9.704848,8.897766,8.355912,7.732178,6.875095,6.296813,5.813682,4.879842,4.220548,3.842672,2.926212,2.287869,1.638049,1.004736
11,12.404539,11.717246,11.031322,10.253071,9.590059,8.855839,8.125671,7.528850,6.818011,5.968880,5.425956,4.753713,3.869532,3.340363,2.643069,1.926797,1.193643
12,13.716865,13.042505,12.318247,11.369509,10.750327,9.921301,8.967833,8.530158,7.752044,6.711396,6.237817,5.462325,4.480164,3.901824,3.099115,2.355417,1.613755
13,15.165080,14.142441,13.302488,12.612686,11.534521,10.854129,10.005011,8.806912,7.959697,7.534932,6.260196,5.402008,5.019760,3.727527,2.886698,2.059144,1.269827
14,15.868509,14.882148,13.965021,13.092726,12.141199,11.241381,10.518474,9.467124,8.568701,7.673973,6.804330,5.935524,4.933249,4.151820,3.273910,2.374562,1.495916
15,16.983431,16.137478,15.162099,14.071019,13.306651,12.235325,11.137654,10.497093,9.532797,8.295750,7.592865,6.666501,5.440856,4.791227,3.836262,2.865905,1.845716
16,18.534632,17.273119,16.234137,15.450583,14.094451,13.246129,12.251886,10.883612,9.849577,9.243212,7.811585,6.740971,6.130280,4.696310,3.668201,2.644636,1.621581
17,19.278250,18.227152,17.122589,15.961173,14.921651,13.823025,12.666847,11.726278,10.641850,9.404141,8.470206,7.412665,6.121299,5.264524,4.185781,3.097737,1.982798
18,20.753113,19.688763,18.521339,17.266907,16.165699,15.005452,13.629436,12.402674,11.326821,10.299771,8.954666,7.714066,6.825012,5.388030,4.227718,3.073677,1.937153
19,21.382692,20.048018,18.849682,17.741741,16.501797,15.258418,14.218887,12.983422,11.742107,10.542790,9.274577,8.221696,6.889262,5.759922,4.568531,3.354698,2.112341
20,22.469782,21.487421,20.210417,18.758863,17.704197,16.327555,14.829458,13.838827,12.482263,10.951066,9.986187,8.624323,7.158030,6.119463,4.778399,3.553625,2.342264
21,23.776308,22.179810,20.804289,19.588684,18.128040,16.827747,15.786125,14.119180,12.778509,11.545682,10.102593,8.786255,7.623592,6.117158,4.790137,3.454132,2.136152
22,24.652679,23.416098,22.088646,20.502926,19.236200,17.803391,16.215424,15.121953,13.699554,12.110163,10.935163,9.515275,7.870982,6.742167,5.314360,3.945831,2.552523
