Ferrari 488 GT3 Evo 2020,iracing,baseline.sto,dry
Speed (KPH),-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46,-48,-50,-52,-54,-56,-59,-63,-68,-74,-81,-89,-98,-108,-119,-131,-144,-158,-173,10,13,17,21,25,29,33,37,41,45,49,53,58,64,71,79,88,98,109,121,134,148,163,179
9,0.518958,0.621016,0.721800,0.826531,0.941574,1.058847,1.179721,1.291362,1.411625,1.525868,1.648160,1.767269,1.880258,2.006034,2.123834,2.240443,2.357181,2.473640,2.586128,2.715797,2.831465,2.946072,3.060191,3.178241,3.366842,3.593343,3.890545,4.249136,4.657330,5.133028,5.672994,6.271192,6.915551,7.637552,8.432156,9.246865,10.175145,-0.515903,-0.669417,-0.881716,-1.114228,-1.356575,-1.585739,-1.827748,-2.062463,-2.299180,-2.535412,-2.768167,-3.008067,-3.300759,-3.661124,-4.066069,-4.542875,-5.084906,-5.668043,-6.319818,-7.046131,-7.815658,-8.652641,-9.542871,-10.528894
10,0.537995,0.635580,0.732692,0.836838,0.950313,1.039030,1.130960,1.265686,1.413977,1.499880,1.645347,1.804351,1.929184,2.049145,2.182193,2.329720,2.469945,2.656970,2.739441,2.893951,3.037010,3.224559,3.363043,3.440607,3.660752,3.988201,4.308687,4.773096,5.262949,5.804025,6.421698,7.079554,7.809295,8.593126,9.419756,10.336038,11.329422,-0.510575,-0.674237,-0.883773,-1.102481,-1.330350,-1.560274,-1.856483,-2.151006,-2.392959,-2.695200,-2.938550,-3.267642,-3.576205,-4.044861,-4.509239,-5.114912,-5.749145,-6.429780,-7.159584,-7.948818,-8.784888,-9.691710,-10.654425,-11.710249
11,0.632017,0.757475,0.881877,1.006505,1.135324,1.262456,1.383420,1.514673,1.649783,1.788216,1.931062,2.075993,2.218889,2.363558,2.505944,2.652747,2.799250,2.939058,3.083453,3.224448,3.376507,3.522293,3.666409,3.803644,4.016835,4.314756,4.671842,5.112780,5.630425,6.196803,6.849284,7.575821,8.383090,9.253168,10.209419,11.238801,12.319766,-0.631032,-0.820126,-1.063726,-1.321056,-1.575533,-1.860069,-2.145397,-2.435148,-2.721351,-3.012124,-3.299960,-3.594163,-3.950230,-4.391434,-4.889935,-5.471619,-6.131730,-6.860402,-7.655024,-8.536554,-9.468842,-10.478012,-11.591513,-12.743273
12,0.693278,0.829774,0.968481,1.108204,1.243121,1.385273,1.522330,1.657860,1.811533,1.966564,2.121326,2.272882,2.437768,2.584547,2.746734,2.899136,3.054015,3.219500,3.374240,3.524837,3.682320,3.849622,4.003004,4.155449,4.392016,4.710287,5.098316,5.579221,6.116665,6.752614,7.464794,8.256943,9.137213,10.088355,11.097619,12.250980,13.425774,-0.696154,-0.903391,-1.178333,-1.454149,-1.735845,-2.045814,-2.353752,-2.672825,-2.984954,-3.289318,-3.609627,-3.918823,-4.318129,-4.779819,-5.333879,-5.968904,-6.664548,-7.453001,-8.342511,-9.273171,-10.323322,-11.428376,-12.638132,-13.929676
13,0.751411,0.901338,1.053091,1.205999,1.356844,1.502923,1.658245,1.808246,1.966027,2.139510,2.308651,2.479508,2.645788,2.815671,2.988046,3.156318,3.327141,3.492353,3.669392,3.840255,4.007720,4.176897,4.344010,4.522458,4.775369,5.109111,5.544167,6.046197,6.650070,7.334534,8.107267,8.962485,9.887957,10.915845,12.038266,13.240986,14.548384,-0.757900,-0.982421,-1.284769,-1.583661,-1.892891,-2.225605,-2.570509,-2.907498,-3.252084,-3.587707,-3.930639,-4.266118,-4.700466,-5.205267,-5.803812,-6.475489,-7.244078,-8.098573,-9.035203,-10.068542,-11.199344,-12.391207,-13.696845,-15.046734
14,0.810545,0.971577,1.133478,1.296733,1.458090,1.620696,1.782813,1.953217,2.136287,2.315657,2.505203,2.688134,2.866347,3.051220,3.235536,3.416270,3.599170,3.776886,3.961613,4.150738,4.334730,4.512808,4.694463,4.874292,5.159483,5.519709,5.983614,6.528179,7.177264,7.916390,8.719191,9.665673,10.661749,11.768786,12.974215,14.272120,15.678374,-0.815688,-1.058356,-1.380603,-1.706569,-2.054666,-2.416493,-2.788145,-3.152012,-3.516917,-3.880855,-4.239211,-4.611238,-5.061683,-5.622781,-6.267532,-6.989534,-7.817056,-8.737326,-9.744892,-10.857837,-12.040178,-13.359617,-14.722139,-16.219477
15,0.865638,1.039630,1.213678,1.385783,1.562361,1.733869,1.905469,2.104985,2.303367,2.497504,2.691007,2.891884,3.086280,3.284149,3.473090,3.676812,3.870049,4.063682,4.257985,4.452057,4.656777,4.852684,5.045480,5.236993,5.542322,5.929711,6.410031,7.006985,7.702937,8.472011,9.357608,10.342600,11.435893,12.624484,13.916799,15.305572,16.809404,-0.869964,-1.131750,-1.472873,-1.826701,-2.211890,-2.603445,-2.996182,-3.390529,-3.775741,-4.172868,-4.556191,-4.959263,-5.440307,-6.041388,-6.710871,-7.501019,-8.388716,-9.374250,-10.455080,-11.646465,-12.915610,-14.291802,-15.788523,-17.391151
16,0.926185,1.110125,1.294191,1.476315,1.664880,1.849371,2.050235,2.255676,2.470582,2.678155,2.884612,3.091475,3.306239,3.514266,3.720812,3.928979,4.145057,4.346404,4.555272,4.762674,4.970327,5.190564,5.394138,5.596690,5.908369,6.335994,6.849994,7.486340,8.208599,9.049931,9.993601,11.044497,12.211387,13.477804,14.854917,16.334764,17.899961,-0.933387,-1.206699,-1.571770,-1.957917,-2.372420,-2.790242,-3.207495,-3.629388,-4.040890,-4.465297,-4.876013,-5.292437,-5.818966,-6.453330,-7.170868,-8.016137,-8.960387,-10.012569,-11.162327,-12.434260,-13.787054,-15.256910,-16.851898,-18.563400
17,0.978545,1.171775,1.371452,1.568480,1.763969,1.972197,2.189397,2.412158,2.631482,2.858775,3.077492,3.295851,3.515133,3.736744,3.965343,4.182188,4.404372,4.633288,4.849141,5.072643,5.294372,5.509526,5.743812,5.958824,6.289212,6.743329,7.292534,7.966080,8.732805,9.626169,10.627612,11.745564,12.982800,14.328595,15.790792,17.365717,19.028755,-0.986700,-1.279928,-1.671212,-2.087964,-2.534454,-2.978766,-3.416831,-3.868376,-4.306877,-4.747840,-5.193408,-5.634153,-6.193473,-6.853411,-7.632307,-8.530212,-9.531220,-10.624965,-11.870710,-13.190806,-14.658466,-16.220837,-17.914654,-19.727570
18,1.040146,1.242465,1.452694,1.660257,1.866448,2.098654,2.331010,2.565017,2.795526,3.037444,3.268893,3.504309,3.735734,3.969405,4.209891,4.442690,4.676353,4.914361,5.148300,5.381554,5.614999,5.848782,6.091877,6.322845,6.673450,7.134875,7.730257,8.446977,9.256084,10.204071,11.263923,12.448075,13.754241,15.178213,16.694336,18.393431,20.154022,-1.042731,-1.351372,-1.765985,-2.224209,-2.695616,-3.158018,-3.631639,-4.098518,-4.570831,-5.038330,-5.509897,-5.976573,-6.573565,-7.269714,-8.092443,-9.038941,-10.079120,-11.259017,-12.576796,-13.978163,-15.530273,-17.183229,-18.972319,-20.893320
19,1.091569,1.308794,1.526275,1.752897,1.976104,2.222485,2.470313,2.720240,2.963463,3.212639,3.463072,3.710024,3.955215,4.203164,4.454257,4.700259,4.944880,5.185671,5.446383,5.689360,5.937730,6.185276,6.429995,6.683904,7.055319,7.540913,8.196979,9.017096,10.086040,11.237948,12.496746,13.679417,14.981908,16.371164,17.857315,19.536451,21.364702,-1.099478,-1.428378,-1.862665,-2.359647,-2.857120,-3.347725,-3.844140,-4.335235,-4.836283,-5.327568,-5.827963,-6.319285,-6.945614,-7.685174,-8.642309,-9.880707,-11.077976,-12.445691,-13.806870,-15.218798,-16.686926,-18.328642,-20.129566,-22.140530
20,1.204594,1.440625,1.667614,1.913631,2.135482,2.333539,2.536972,2.813149,2.992474,3.202806,3.450210,3.645826,3.855506,4.124485,4.342656,4.598855,4.828061,5.069394,5.313110,5.600132,5.845620,6.105943,6.401607,6.716314,7.048252,7.716297,8.404409,9.398569,10.492664,11.607472,12.906714,14.217422,15.612072,17.176962,18.840508,20.629599,22.548738,-1.205636,-1.566619,-1.992809,-2.474511,-2.928218,-3.315187,-3.772558,-4.216536,-4.727752,-5.218129,-5.729783,-6.277704,-6.994228,-7.888242,-8.955229,-10.288874,-11.534380,-12.886394,-14.334632,-15.879752,-17.558599,-19.333200,-21.248375,-23.292633
