Mercedes-AMG GT3 2020,baseline,hard
Speed (KPH),-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20
0,,,,,,,,,,,,,,,,,
1,1.221689,1.121461,1.036930,0.964629,0.903316,0.843396,0.787240,0.721550,0.662809,0.607712,0.531176,0.469910,0.410265,0.350075,0.278760,0.204569,0.106384
2,2.420978,2.288836,2.141347,2.021454,1.881416,1.742165,1.622440,1.468842,1.344656,1.198205,1.075180,0.934266,0.801126,0.664712,0.532890,0.403068,0.270158
3,3.641075,3.432341,3.223986,3.023006,2.807954,2.611085,2.399547,2.191861,1.996219,1.791535,1.594192,1.388339,1.198813,0.994384,0.792733,0.586479,0.392747
4,4.835028,4.556759,4.297661,4.022807,3.741131,3.486896,3.205020,2.948699,2.672415,2.392634,2.129274,1.860473,1.589986,1.315112,1.040720,0.779191,0.502998
5,6.015110,5.684935,5.351033,5.025154,4.685239,4.358829,4.017462,3.686868,3.346243,3.002779,2.672972,2.324148,1.980731,1.628071,1.276192,0.935488,0.609345
6,7.241179,6.835958,6.438634,6.022614,5.608237,5.205080,4.793744,4.393333,3.983123,3.571879,3.173857,2.780029,2.370797,1.969548,1.566483,1.167917,0.769784
7,8.382260,7.918470,7.437744,7.011537,6.541331,6.081135,5.592062,5.109515,4.629847,4.145484,3.684001,3.227617,2.756389,2.286441,1.821656,1.354916,0.887449
8,9.630856,9.081781,8.533937,8.003310,7.450527,6.915202,6.373405,5.834808,5.292335,4.750615,4.215505,3.680546,3.146432,2.609132,2.077467,1.533543,1.006894
9,10.823940,10.216008,9.594503,8.996511,8.375990,7.778099,7.165977,6.561511,5.951047,5.348907,4.740292,4.138862,3.534601,2.929440,2.329926,1.727739,1.128482
10,11.946250,11.282393,10.615152,9.963157,9.288167,8.631021,7.956576,7.301210,6.639555,5.980386,5.309776,4.562075,3.854823,3.147943,2.526478,1.914511,1.268137
11,13.174908,12.428813,11.673183,10.936655,10.188125,9.438405,8.704512,7.957962,7.222714,6.481310,5.746818,5.010255,4.276859,3.539830,2.808689,2.070646,1.338728
12,14.367874,13.553324,12.731942,11.912502,11.110218,10.297158,9.493047,8.678917,7.876867,7.069438,6.258019,5.461193,4.656450,3.855758,3.056954,2.255520,1.457371
13,15.522861,14.640486,13.766850,12.885795,12.003573,11.136821,10.255778,9.387401,8.510406,7.646674,6.770446,5.906295,5.038895,4.170636,3.309090,2.441115,1.574661
14,16.719780,15.772919,14.818295,13.882175,12.934385,12.000339,11.049592,10.108130,9.176075,8.230471,7.302792,6.363155,5.435175,4.497924,3.569883,2.633518,1.707882
15,17.922974,16.910698,15.881234,14.866910,13.866105,12.850831,11.848811,10.837569,9.838050,8.829556,7.834090,6.827336,5.826708,4.828106,3.829137,2.837054,1.835955
16,19.098385,18.021299,16.949018,15.867114,14.783895,13.717609,12.633313,11.567148,10.491712,9.426979,8.352783,7.290281,6.219901,5.156166,4.089161,3.029100,1.965777
17,20.302517,19.156279,17.996603,16.864590,15.715675,14.567362,13.427516,12.285287,11.152238,10.014424,8.884642,7.748016,6.621018,5.486549,4.356717,3.225716,2.095744
18,21.507235,20.289564,19.052258,17.859718,16.633310,15.410645,14.213904,12.998333,11.803795,10.588786,9.401603,8.186854,7.000002,5.794419,4.606079,3.402314,2.213220
19,22.439030,21.208879,19.994976,18.759342,17.507898,16.279947,15.070509,13.746099,12.581437,11.490634,10.105818,8.611040,7.392465,6.144680,4.876043,3.621003,2.356549
20,23.670273,22.376890,21.056276,19.751642,18.450386,17.164246,15.850228,14.530214,13.244682,11.841664,10.382487,8.963613,7.615137,6.361976,5.023786,3.666625,2.363001
21,24.838806,23.432348,22.054781,20.642626,19.217344,17.830404,16.435640,15.026185,13.616635,12.256870,10.845980,9.445173,8.074541,6.664193,5.264908,3.900194,2.495799
22,26.055187,24.583645,23.074709,21.634130,20.176727,18.700811,17.229939,15.776807,14.312037,12.815787,11.374002,9.923045,8.440230,6.997929,5.541386,4.060253,2.615614
